Date,TSE
2019/10/29,11266.84 
2019/10/30,11336.64 
2019/10/31,11321.99 
2019/11/1,11347.39 
2019/11/4,11336.97 
2019/11/5,11393.68 
2019/11/6,11373.70 
2019/11/7,11451.72 
2019/11/8,11576.18 
2019/11/11,11645.08 
2019/11/12,11642.91 
2019/11/13,11620.89 
2019/11/14,11570.33 
2019/11/15,11463.33 
2019/11/18,11483.24 
2019/11/19,11488.74 
2019/11/20,11485.46 
2019/11/21,11543.80 
2019/11/22,11608.48 
2019/11/25,11645.73 
2019/11/26,11573.84 
2019/11/27,11556.75 
2019/11/28,11590.81 
2019/11/29,11608.37 
2019/12/2,11590.81 
2019/12/3,11641.70 
2019/12/4,11616.88 
2019/12/5,11509.94 
2019/12/6,11473.32 
2019/12/9,11511.82 
2019/12/10,11546.75 
2019/12/11,11639.80 
2019/12/12,11635.47 
2019/12/13,11647.78 
2019/12/16,11635.07 
2019/12/17,11766.98 
2019/12/18,11937.90 
2019/12/19,11915.61 
2019/12/20,11939.62 
2019/12/23,12061.10 
2019/12/24,12082.98 
2019/12/25,12001.56 
2019/12/26,11969.14 
2019/12/27,12023.79 
2019/12/30,11978.94 
2019/12/31,12018.38 
2020/1/2,12032.72 
2020/1/3,12094.81 
2020/1/6,12019.19 
2020/1/7,12026.50 
2020/1/8,12167.44 
2020/1/9,12035.71 
2020/1/10,11961.97 
2020/1/13,11818.76 
2020/1/14,11889.46 
2020/1/15,12009.27 
2020/1/16,12069.61 
2020/1/17,12161.73 
2020/1/20,12169.92 
2020/1/30,12006.08 
2020/1/31,12080.72 
2020/2/3,12107.56 
2020/2/4,11933.23 
2020/2/5,11494.03 
2020/2/6,11365.90 
2020/2/7,11399.46 
2020/2/10,11601.55 
2020/2/11,11605.11 
2020/2/12,11712.71 
2020/2/13,11514.72 
2020/2/14,11614.25 
2020/2/17,11693.40 
2020/2/18,11813.50 
2020/2/19,11806.52 
2020/2/20,11770.30 
2020/2/21,11700.91 
2020/2/24,11655.37 
2020/2/25,11785.78 
2020/2/26,11721.16 
2020/2/27,11615.28 
2020/3/2,11506.74 
